__run_id,__done,algorithm,arena,map_resolution,linear_update,angular_update,repetition,avg_cpu,avg_mem,energy,rosbag_msg_size,mean_of_known_cells,amount_of_known_cells,amount_above_mean,proportion_occupied,enclosed_area_count,corner_count
run_83,DONE,karto,circular,0.1,1.0,0.9,1,29.795713942498786,651810484.1460747,934486.4111060508,3727120,67.53944020356234,786,209,26.590330788804074,3,51
run_84,DONE,karto,point_to_point,0.05,0.2,0.0174,1,31.749660687519693,647377318.0557929,812145.6114640712,3260968,46.66932952924394,3505,644,18.373751783166906,4,49
run_85,DONE,hector,circular,0.1,1.0,0.9,3,27.930424097329478,784969670.1027597,941978.2394382269,3793632,72.75061728395062,810,232,28.641975308641975,3,58
run_86,DONE,karto,point_to_point,0.05,0.2,0.0174,2,28.858510151343584,651853619.5178479,823202.8961545698,3265120,44.39896670493685,3484,609,17.479908151549942,2,47
run_87,DONE,hector,circular,0.05,0.2,0.9,4,29.910441844325515,782562807.1083754,945779.4504588548,3771056,43.95519480519481,3080,533,17.305194805194805,10,50
run_88,DONE,karto,circular,0.1,0.2,0.0174,2,28.55596071323061,651131960.5707897,942649.4141192748,3758736,75.46376811594203,828,246,29.71014492753623,3,41
run_89,DONE,karto,circular,0.05,0.2,0.0174,4,28.805775691144465,652160614.3093605,939025.627363025,3768520,49.190140845070424,3124,605,19.366197183098592,3,66
run_90,DONE,cartographer,circular,0.1,1.0,0.0174,2,41.367997713062095,688158786.2078543,961206.1626028359,5865720,74.24621594349142,991,407,41.06962663975782,3,41
run_91,DONE,cartographer,point_to_point,0.05,0.2,0.9,1,42.816030294439756,687328122.2791512,831593.3047257542,5080360,110.42622004042738,3463,745,21.513138896910196,2,70
run_92,DONE,karto,point_to_point,0.1,1.0,0.0174,2,28.67715975872158,652335724.0174314,811638.3913510133,3261384,73.98058252427184,927,270,29.126213592233007,1,48
run_93,DONE,gmapping,circular,0.05,1.0,0.9,3,31.25380087470053,657678286.9300804,938447.0108393885,3767648,41.029488859764086,3052,493,16.153342070773263,5,48
run_94,DONE,hector,circular,0.1,0.2,0.0174,1,30.135543751569053,783135601.8532273,934804.1140926578,3758368,73.85404789053592,877,255,29.076396807297606,8,44
run_95,DONE,karto,circular,0.1,1.0,0.0174,2,28.39240062028956,654400762.3924898,938734.6886716208,3743520,77.47607655502392,836,255,30.502392344497608,3,33
run_96,DONE,hector,point_to_point,0.05,1.0,0.9,3,30.49536987567704,782382826.7418219,810383.5363408083,3268232,41.72804201925883,3427,563,16.4283629997082,9,87
run_97,DONE,hector,circular,0.1,1.0,0.9,4,29.289662038197648,787291450.6419263,936753.3922134343,3770184,65.02915082382764,789,202,25.602027883396705,2,52
run_98,DONE,hector,circular,0.05,1.0,0.9,2,27.560923206680645,785715463.399507,937749.2710145713,3766736,40.55888223552894,3006,480,15.968063872255488,15,79
run_99,DONE,cartographer,point_to_point,0.05,1.0,0.0174,3,40.458625291109094,690828353.536,828545.4986021572,5085056,51.765735178897884,3829,1081,28.231914337947245,1,36
run_100,DONE,hector,circular,0.05,1.0,0.9,3,27.651510494118643,783943507.1346067,934908.3541076458,3775144,42.69900332225914,3010,506,16.81063122923588,9,82
run_101,DONE,gmapping,circular,0.1,1.0,0.9,2,28.32120477371572,655552605.7737275,938863.4886738623,3750576,67.45885286783043,802,213,26.55860349127182,3,32
run_102,DONE,hector,circular,0.1,0.2,0.0174,2,27.76924792766359,790636685.2728082,945481.4005041744,3760872,75.88141391106043,877,262,29.874572405929307,6,49
run_103,DONE,hector,point_to_point,0.1,0.2,0.0174,1,30.53532824853454,783700335.1919192,810555.9418961962,3261928,77.6847599164927,958,293,30.58455114822547,2,48
run_104,DONE,karto,circular,0.05,1.0,0.9,4,27.65043307801445,653490849.5705086,936058.8635050205,3696088,39.594368085819646,2983,465,15.588333892054978,3,60
run_105,DONE,cartographer,circular,0.1,0.2,0.9,3,39.92241264102054,691535254.6730187,954504.1237534499,5879480,104.70710784313725,816,253,31.004901960784316,3,32
run_106,DONE,gmapping,point_to_point,0.05,1.0,0.9,1,28.232154816137104,659999422.6062003,813317.5999499563,3268776,39.65092165898618,3472,542,15.610599078341014,8,40
run_107,DONE,cartographer,point_to_point,0.1,1.0,0.0174,4,40.885960869809374,691977549.3180115,833912.3239703224,5089720,72.36901408450704,1065,412,38.68544600938967,1,38
run_108,DONE,karto,circular,0.05,0.2,0.9,3,26.886166256662197,654033606.8006238,933892.4565930428,3735584,42.87234737185766,3063,517,16.878876918054196,8,40
run_109,DONE,hector,point_to_point,0.1,1.0,0.0174,2,31.46484722993227,780068332.7711568,811463.0152557794,3224488,77.13496932515338,978,297,30.368098159509206,5,57
run_110,DONE,hector,circular,0.05,1.0,0.0174,2,29.176570712375806,780681616.3071554,943982.4594641906,3731536,51.82748364069007,3362,686,20.404521118381915,47,70
run_111,DONE,cartographer,point_to_point,0.05,1.0,0.9,3,42.94827614612189,690131007.4562719,828604.9565283323,4975040,120.62900407687827,3434,726,21.141525917297614,1,50
