__run_id,__done,algorithm,arena,map_resolution,linear_update,angular_update,repetition,avg_cpu,avg_mem,energy,rosbag_msg_count,rosbag_msg_size
run_97,DONE,hector,circular,0.1,1.0,0.9,4,29.289662038197655,787291450.6419262,936753.3922134344,46746,3770184
run_98,DONE,hector,circular,0.05,1.0,0.9,2,27.560923206680645,785715463.399507,937749.2710145712,46694,3766736
run_99,DONE,cartographer,point_to_point,0.05,1.0,0.0174,3,40.45862529110909,690828353.536,828545.4986021572,69184,5085056
run_100,DONE,hector,circular,0.05,1.0,0.9,3,27.651510494118636,783943507.1346068,934908.3541076458,46821,3775144
run_101,DONE,gmapping,circular,0.1,1.0,0.9,2,28.32120477371572,655552605.7737275,938863.4886738623,46527,3750576
run_102,DONE,hector,circular,0.1,0.2,0.0174,2,27.76924792766359,790636685.2728082,945481.4005041744,46600,3760872
run_103,DONE,hector,point_to_point,0.1,0.2,0.0174,1,30.53532824853454,783700335.1919192,810555.9418961963,40403,3261928
run_104,DONE,karto,circular,0.05,1.0,0.9,4,27.65043307801445,653490849.5705086,936058.8635050204,45826,3696088
run_105,DONE,cartographer,circular,0.1,0.2,0.9,3,39.92241264102055,691535254.6730186,954504.1237534498,80166,5879480
run_106,DONE,gmapping,point_to_point,0.05,1.0,0.9,1,28.232154816137104,659999422.6062003,813317.5999499562,40542,3268776
run_107,DONE,cartographer,point_to_point,0.1,1.0,0.0174,4,40.885960869809374,691977549.3180115,833912.3239703223,69324,5089720
run_108,DONE,karto,circular,0.05,0.2,0.9,3,26.8861662566622,654033606.8006238,933892.4565930428,46317,3735584
run_109,DONE,hector,point_to_point,0.1,1.0,0.0174,2,31.46484722993227,780068332.7711568,811463.0152557793,39948,3224488
run_110,DONE,hector,circular,0.05,1.0,0.0174,2,29.176570712375806,780681616.3071554,943982.4594641906,46257,3731536
run_111,DONE,cartographer,point_to_point,0.05,1.0,0.9,3,42.948276146121884,690131007.4562719,828604.9565283324,67694,4975040
run_112,DONE,cartographer,circular,0.05,0.2,0.9,4,42.24480101843228,692738290.2461005,960260.823457231,80015,5873864
run_113,DONE,karto,point_to_point,0.1,1.0,0.0174,3,28.244889648253327,656770314.6502311,813439.6791291836,40405,3252008
run_114,DONE,hector,circular,0.1,0.2,0.9,1,27.497241428192783,786320218.8387097,933741.2526529066,46830,3775272
run_115,DONE,cartographer,circular,0.1,0.2,0.0174,2,43.90013005865487,694762747.5709343,958368.1079165316,79906,5860248
run_116,DONE,gmapping,circular,0.05,1.0,0.0174,3,44.014248345503475,660110486.8044376,979680.9292481161,49423,3983312
run_117,DONE,hector,circular,0.05,0.2,0.0174,3,28.70531445271785,783186604.7829938,938537.9927796738,46525,3754176
run_118,DONE,cartographer,circular,0.05,0.2,0.0174,3,42.634315091001184,691344108.4355922,962175.4864538277,79622,5843720
run_119,DONE,karto,point_to_point,0.1,0.2,0.0174,2,28.499075825682652,653582037.3442875,812631.9687386656,40411,3251272
run_120,DONE,karto,point_to_point,0.1,1.0,0.0174,4,27.90261547871125,653451352.2215384,811198.7534468086,40177,3236088
run_121,DONE,cartographer,point_to_point,0.1,1.0,0.0174,5,43.58890028111683,689744897.2771264,827514.8853733017,69361,5092000
run_122,DONE,cartographer,circular,0.05,1.0,0.9,2,42.59878928417978,689999243.9584775,957636.0318960856,79949,5865584
run_123,DONE,cartographer,circular,0.05,1.0,0.9,3,43.89158588700704,689690974.4148821,957961.0251115793,79942,5863712
run_124,DONE,cartographer,point_to_point,0.1,0.2,0.0174,1,41.05497035137066,690486956.3716284,826912.7907582938,69296,5087568
run_125,DONE,hector,circular,0.05,1.0,0.0174,3,30.436951268836125,788105523.2670889,932611.4209941995,46557,3756192
run_126,DONE,gmapping,circular,0.05,1.0,0.9,4,28.949124422075478,658810291.1602749,940807.0183956842,46626,3759296
run_127,DONE,gmapping,point_to_point,0.05,1.0,0.9,2,31.153000211943162,658615334.8209893,809924.785514807,40537,3269456
